run_date,sector,league,code,name,exc1,exc3,prox,a20,shD,score
2026-08-29,반도체와반도체장비,선봉,319660,피에스케이,-0.23137711284409385,0.3711776684958239,0.585876993166287,44520641685.0,-0.0012529737951551792,42
2026-08-29,반도체와반도체장비,선봉,240810,원익IPS,-0.015274691005705832,0.16049331591396435,0.5915867944621939,106159735965.0,-0.002867667079653753,42
2026-08-29,반도체와반도체장비,선봉,403870,HPSP,0.37282890544000685,0.13856848004184166,0.5554347826086956,123895989360.0,-0.0039847748014315695,41
2026-08-29,반도체와반도체장비,선봉,131970,두산테스나,0.11092723207121707,-0.33449659551177346,0.414931437277806,21241820265.0,-6.46073424703708e-05,41
2026-08-29,반도체와반도체장비,선봉,089970,브이엠,-0.33484940810121994,0.0823516252580159,0.475020475020475,35324072600.0,-0.0005144224218177557,28
2026-08-29,반도체와반도체장비,선봉,440110,파두,-0.09216192529229411,-0.2971381718577185,0.4891808346213292,32907964315.0,-0.0006949549007515547,27
2026-08-29,반도체와반도체장비,선봉,058470,리노공업,-0.20284490644318948,-0.19129419364808672,0.517829457364341,37006225160.0,-0.0015129842824259617,21
2026-08-29,반도체와반도체장비,선봉,000990,DB하이텍,-0.09693966738446741,-0.38208750431386773,0.40737527114967464,35138295535.0,-0.001136126012502629,18
2026-08-29,전기장비,대장(깃발),298040,효성중공업,0.1467848845475484,0.10810680494237884,0.6649093209616196,135806130050.0,0.029583012616310356,97
2026-08-29,전기장비,대장(깃발),010120,LS ELECTRIC,-0.11547595199045663,0.11516316307754132,0.6402985074626866,139598507015.0,-0.014775884390249322,70
2026-08-29,전기장비,대장(깃발),267260,HD현대일렉트릭,-0.03592126322075079,0.02244001512850896,0.5692307692307692,101469104700.0,-0.015297416118206397,57
2026-08-29,전기장비,대장(깃발),006260,LS,-0.13957881695574453,-0.0967649237233707,0.5182119205298014,57448922500.0,0.019665724080555072,50
2026-08-29,전기장비,대장(깃발),001440,대한전선,-0.08716192367642822,-0.1336804805695005,0.391304347826087,53050827297.5,-0.020779891628495417,27
2026-08-29,전기장비,선봉,062040,산일전기,0.15950728073925508,0.045375864213604344,0.593841642228739,49997660975.0,0.013718232908155728,92
2026-08-29,전기장비,선봉,000500,가온전선,0.24166690515240058,0.3215659319609669,0.5781329705832341,32430157270.0,-0.0060317261529455254,75
2026-08-29,전기장비,선봉,103590,일진전기,0.06729211926682327,0.0020191891527083228,0.4908722109533469,26618048565.0,0.012774599260817511,58
2026-08-29,전기장비,선봉,178320,서진시스템,-0.10689485457687192,-0.27296493725784715,0.46758703481392555,39198680990.0,-0.017794891292006995,25
